First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,List Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
First,Name,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Email,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Address,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,City,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Zip,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Phone,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Fax,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
User,Name,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Password,,,,,,,FL,,Lis Pendens,LIS PENDENS,,,,60,Foreclosure; LP+PR combo,Hernando County Clerk / Property Appraiser,
First,Name,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Email,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Address,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,City,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Zip,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Phone,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Fax,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
User,Name,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
,Password,,,,,,,FL,,Probate,PROBATE,,,,60,Probate / estate; LP+PR combo,Hernando County Clerk / Property Appraiser,
